Mean Initial AF,Total
0.291431465,3881.231163
0.199674176,210.8837524
0.220753393,2417.640195
0.179923947,0
0.183131509,1745.39065
0.051907748,1.598860259
0.047461788,2181.119165
0.223573313,315.5338293
0.035230338,499.3286524
0.156092589,638.5388608
0.185873069,493.4296517
0.167078817,26.27072631
0.399902469,72.96023122
0.372847898,37065.11533
0.025571486,5.41205267
0.109348815,325.5801043
0.121680698,1457.62437
0.081958357,11.43299345
0.16430889,944.5136554
0.337385316,154.3156634
0.026660526,198.6619317
0.16146726,265.2124967
0.144318305,193.9222291
0.09273919,12085.05207
0.026443067,3.607344062
0.157738644,765.6104558
0.110777993,725.185355
0.150079492,721.6918238
0.171451052,1523.858794
0.107238993,1349.940246
0.148566374,3606.251145
0.113262823,32.62709293
0.186297668,601.4012293
0.152489985,912.4969483
0.076118113,721.9859569
0.252401991,267349.7363
0.029800307,551.0129407
0.022391125,6.66340381
0.091487006,210.6449358
0,0
0.043654335,64.43919315
0.163527932,426.1387064
0.133179613,1261.085716
0.233341821,139.0914419
0.13756253,881.9483963
0.106398085,1379.528474
0.229267225,7708.929393
0.186990565,6244.154038
0.115296793,725.1315559
0.151905272,63.591963
0.04755622,0
0.113347709,321.4438344
0.041533251,235.7194756
0.264959473,8747.504015
0.13790323,393.1209951
0.050887017,17.64295359
0.179994727,454.1096023
0.093683547,38.31338391
0.127071726,5845.169026
0,0
0.08944885,229.1144364
0.149230756,6209.088263
0.032989173,33.68842952
0.119454584,82.34845227
0.192226743,414.9945313
0.130710136,8615.917893
0.148526372,2288.359286
0.212544729,1953.147862
0.034002646,2.535292944
0.165557413,1117.32606
0.13516935,953.0606604
0.127867771,152.3166211
0,0
0.136941669,727.3579874
0.080744303,224.600358
0.134970618,851.58576
0.116142562,23.23454927
0.378745371,512504.7319
0.242629162,25151.93735
0.294333893,5795.606394
0.304948823,2240.625475
0.13540482,459.8603552
0.265760725,909.0402554
0.210589446,8273.900709
0.149543157,208.2262686
0.238383434,33427.2899
0.2871377,375.226058
0.167022654,1388.411386
0.083958265,1188.904109
0,0
0.340836465,137.4177793
0.257482235,445.5363886
0.189457902,606.0703775
0.098098591,65.72832729
0.269914231,306.0917917
0.165852267,410.5014666
0.108831866,198.4745129
0.216522464,311.0230925
0.104274674,133.834945
0.12771006,43.35413205
0.00879024,122.0443695
0.096251736,661.1671314
0.216149519,4346.325638
0.073426435,8.834097187
0.099548994,470.9037617
0.246136064,64.66882291
nan,nan
0.09666121,143.2704292
0.005202185,3.73671825
0.207438066,9306.84861
0,0
0.209436728,0
0.198192106,98.10109392
0.208264849,2386.668537
0.067812181,641.7067437
0.169264654,6095.667171
0.166989897,226.7817405
nan,nan
0.391073539,10142.97569
0.119209596,1957.550539
0,0
0.046269328,63.9419201
0.131003755,1068.485548
0.166071753,8903.57753
nan,nan
0.121110993,520.1834387
0.276645958,140.4597847
0.346288679,29390.4009
nan,nan
0.067227016,88.2800741
0,0
0.062319464,142.2336771
0.053935867,1147.88629
0.079472942,6210.815
0.124072602,2656.302552
0.189996825,2432.503201
0.376095825,30.90567723
0.241416339,5423.786553
0.13527936,239.3762702
0.140354157,1699.006443
0.104064919,7333.078426
0.148506877,687.5587749
nan,nan
0.041153837,3.349592432
0.036359436,1.827142399
0,0
0.197590935,0
0.070098668,9.637672123
0.296506192,1996.622027
0.119504836,781.1246663
0.154789629,732.8305457
0,0
0.135911416,454.3569007
0.338002679,1176.270459
0.134074512,365.4842561
0.164392937,210.0408031
0,0
0.042698829,295.5410845
0.155225517,5714.236817
0.201963249,8799.880696
0.16877628,2350.058816
0.167677917,2705.485237
0,0
0.139646041,107.6083454
0.109231687,785.9732427
0.169730242,793.7689547
0.258477921,868.5039397
0.257476758,665.7639803
0.224130092,12740.31789
0.179022763,130.8294955
0.063870742,22.69847843
0.162122675,601.2940752
0,0
0.040859151,20.3031797
0.219278073,970.6507491
0.209820318,5739.951948
0.201045887,127.9196722
nan,nan
0.147833945,2004.391447
0.130428471,2391.405271
0.347072764,527.9760124
0.124319971,10914.43174
0.080133014,1847.482762
0.194070866,54005.28762
0.02341917,83.44305498
0.224452352,1431.146372
0,0
0.097405514,803.0489658
0.217978685,11487.8424
0.212057405,1509.07957
0.149988615,1146.295873
0.123872462,1201.526354
0.238387282,775.3084089